n, n * root(n), n * n, n * log(n) 
406250,0.00153610225725465,2.1731347793783198E-4,0.07581090560818243
406500,0.0015388139129612346,1.9612560684455294E-4,0.07596447876991676
406750,0.001564996234074376,-1.9725366191817694E-4,0.07727705931438643
407000,0.0015446060644560083,-2.162369616002666E-4,0.07629003075541649
407250,0.0015647314686618185,-2.462871536308159E-4,0.07730410686656806
407500,0.0015636377326753456,-2.81006668950442E-4,0.07727010806233717
407750,0.0015637361801914156,-3.2737993570221074E-4,0.07729500357867114
408000,0.0015468737651051243,-3.8772769415357765E-4,0.07648130723940397
408250,0.0015452614125944382,-4.823481009985898E-4,0.07642136873306012
408500,0.0016264548594813481,-6.724720798879899E-4,0.08045762748881559
408750,0.0015593749603025635,-9.539915957514241E-4,0.07715925963444005
409000,0.0015749964356994548,-0.0018496793959088766,0.07795236414997164
409250,0.0015585462939090862,-0.022466634262090765,0.07715810896176245
409500,0.0015587220313320134,0.002189835150436517,0.077186727300402
409750,0.0015752149516343613,0.0010557626564595233,0.07802356618331985
410000,0.001587372970532654,6.9888840100103E-4,0.07864604770179917
410250,0.0015795668006303122,5.179587424909148E-4,0.07827945648554258
410500,0.0015515469639353675,4.0542442078086896E-4,0.07691066139142423
410750,0.0015657052942412981,3.4011973132156955E-4,0.07763246730174043
411000,0.001607732248415342,2.988974360676433E-4,0.07973679470478996
411250,0.0015397589387561813,2.502283105337968E-4,0.07638523153045756
411500,0.0015626769044851103,2.2559160915504366E-4,0.0775420729276277
411750,0.0015518296211521373,2.015446837585328E-4,0.0770235855386019
412000,0.001575299070313591,-2.027505983573673E-4,0.07820853042399932
412250,0.0015536541663554644,-2.2245670946670142E-4,0.07715370930419116
412500,0.001581154946469149,-2.5504708282394947E-4,0.07853950659691766
412750,0.0015487955064932902,-2.859770276679954E-4,0.07695184416494678
413000,0.001549985364987445,-3.34546417743164E-4,0.07703067405809437
413250,0.0016531165851876234,-4.292321438069599E-4,0.08217707248151955
413500,0.0015563927337494752,-5.068824008333527E-4,0.0773886717875509
413750,0.0015355563123581192,-6.703581556622586E-4,0.07637212868992196
414000,0.0015378445841209521,-0.0010172791184445158,0.0765054685213086
414250,0.0015585064657014595,-0.002124067892883552,0.07755315270636762
414500,0.0015382854726405635,0.03551689888355932,0.07656645493063083
414750,0.0015519077339219412,0.0018939039156733023,0.07726417720373463
415000,0.0015467277295654251,9.699790874282115E-4,0.07702589943873284
415250,0.001544845311815084,6.52151970561313E-4,0.07695174283541958
415500,0.0016058046265960309,5.110520228334545E-4,0.08000859698540658
415750,0.0015334011143894688,3.917195474094921E-4,0.07642054801934281
416000,0.001555089211917447,3.318589771977619E-4,0.07752112016930955
416250,0.001533845120363693,2.811029395115636E-4,0.07648152387045845
416500,0.0015454444272335814,2.482190400840327E-4,0.07707945646534461
416750,0.0015290784269408008,2.1860163333435465E-4,0.07628254497051351
417000,0.0015280006510727212,1.968417900641023E-4,0.0762481039766863
417250,0.0015540093693303862,-2.09829520498225E-4,0.07756560319373892
417500,0.0015302609275325368,-2.3095439744915793E-4,0.07639958465340349
417750,0.0017549188214193987,-3.001653425542964E-4,0.08763799674514822
418000,0.0017264065682090902,-3.4063949762169147E-4,0.08623594497128527
418250,0.0015413042920436357,-3.59220410492384E-4,0.07700934104065311
418500,0.0015160623637177303,-4.314127166422333E-4,0.07576729692004754
418750,0.001533927941141568,-5.601143838091728E-4,0.07667950992580967
419000,0.0015144924433496197,-7.711498259179393E-4,0.07572705358673631
419250,0.0015283887344868107,-0.001284135932631623,0.07644116385485014
419500,0.001531435549797536,-0.003669007759657035,0.07661285327212725
419750,0.0015141491084553914,0.00427132397578989,0.07576714857335784
420000,0.00158594452646752,0.0014091492540805788,0.07937972897632284
420250,0.0015059417659491663,7.94475846985381E-4,0.07539439398680055
420500,0.0014993180060539407,5.626687868731583E-4,0.07508165313329376
420750,0.0015043940372669233,4.382308952836677E-4,0.07535477927769466
421000,0.0015070811056923017,3.588122875400348E-4,0.07550833413423501
421250,0.001525892783419098,3.072309937955202E-4,0.07647003417249408
421500,0.0015064832104217658,2.6281550496140083E-4,0.07551626445135863
421750,0.0016435879477578253,2.5298873156452006E-4,0.08240964145999582
422000,0.0015099312650712828,2.0796889994416555E-4,0.0757270545177569
422250,0.0015259787065307917,-1.9999389251992522E-4,0.07655104211503527
422500,0.0015679890760127446,-2.2875817646233684E-4,0.07867818807193228
422750,0.0015046088205830138,-2.47489035027536E-4,0.07551679336827435
423000,0.001526392947941567,-2.876969002435823E-4,0.07662929755041957
423250,0.0015181406177627592,-3.3494277759482595E-4,0.0762340489879415
423500,0.001538349466039494,-4.090888087659639E-4,0.07726813363901588
423750,0.001515091913102106,-5.068497223572471E-4,0.07611894570372435
424000,0.001544466867742719,-6.960359163869703E-4,0.07761411048798789
424250,0.0015186748462718397,-0.0010476729592318861,0.07633700719402663
424500,0.0015157064267220255,-0.0022253845427967337,0.07620677795263774
424750,0.0016333620237403183,0.018889902886305304,0.08214271954999376
425000,0.0015351896048999539,0.0017994778502476215,0.07722478309778279
425250,0.0015347411434116188,9.480191731888203E-4,0.07722142331865423
425500,0.0015172838446910583,6.365099739010507E-4,0.07636202338981725
425750,0.0015546445465225685,4.938954553736454E-4,0.07826175212081314
426000,0.0015256907155161814,3.9012351641050743E-4,0.07682326572429521
426250,0.0015144668614038787,3.240912878156191E-4,0.07627703035959876
